id,date,workout,duration,distance,pace,category,user_id
255,2017-09-12,Rest,0,0.0,0.0,rest,1
256,2017-09-13,Legs,42,0.0,0.0,legs,1
257,2017-09-14,Chest,47,0.0,0.0,chest,1
258,2017-09-15,Back,46,0.0,0.0,back,1
259,2017-09-16,Legs,35,0.0,0.0,legs,1
260,2017-09-17,Chest,48,0.0,0.0,chest,1
261,2017-09-18,Back,39,0.0,0.0,back,1
262,2017-09-19,Rest,0,0.0,0.0,rest,1
263,2017-09-20,Rest,0,0.0,0.0,rest,1
264,2017-09-21,Chest,38,0.0,0.0,chest,1
265,2017-09-22,Running,31,5.65,5.29,cardio,1
266,2017-09-23,Back,45,0.0,0.0,back,1
267,2017-09-24,Running,29,5.59,5.11,cardio,1
268,2017-09-25,Legs,40,0.0,0.0,legs,1
269,2017-09-26,Running,32,6.04,5.18,cardio,1
270,2017-09-27,Chest,39,0.0,0.0,chest,1
271,2017-09-28,Running,33,6.29,5.15,cardio,1
272,2017-09-29,Back,41,0.0,0.0,back,1
273,2017-09-30,Running,33,6.48,5.06,cardio,1
274,2017-10-01,Legs,37,0.0,0.0,legs,1
275,2017-10-02,Running,34,6.78,5.01,cardio,1
276,2017-10-03,Chest,40,0.0,0.0,chest,1
277,2017-10-04,Running,36,7.38,4.53,cardio,1
278,2017-10-05,Back,41,0.0,0.0,back,1
279,2017-10-06,Running,31,6.54,4.44,cardio,1
280,2017-10-07,Legs,33,0.0,0.0,legs,1
281,2017-10-08,Running,39,7.84,4.58,cardio,1
282,2017-10-09,Chest,41,0.0,0.0,chest,1
283,2017-10-10,Running,35,7.3,4.48,cardio,1
284,2017-10-11,Back,32,0.0,0.0,back,1
285,2017-10-12,Running,38,7.46,5.06,cardio,1
286,2017-10-13,Legs,35,0.0,0.0,legs,1
287,2017-10-14,Chest,43,0.0,0.0,chest,1
288,2017-10-15,Back,45,0.0,0.0,back,1
289,2017-10-16,Legs,34,0.0,0.0,legs,1
290,2017-10-17,Running,36,7.21,4.6,cardio,1
291,2017-10-18,Compound,37,0.0,0.0,compound,1
292,2017-10-19,Running,35,6.98,5.01,cardio,1
293,2017-10-20,Legs,31,0.0,0.0,legs,1
294,2017-10-21,Running,36,7.62,4.43,cardio,1
295,2017-10-22,Compound,47,0.0,0.0,compound,1
296,2017-10-23,Legs,31,0.0,0.0,legs,1
297,2017-10-24,Running,37,7.52,4.55,cardio,1
298,2017-10-25,Compound,43,0.0,0.0,compound,1
299,2017-10-26,Running,36,7.42,4.51,cardio,1
300,2017-10-27,Legs,36,0.0,0.0,legs,1
301,2017-10-28,Chest,34,0.0,0.0,chest,1
302,2017-10-29,Back,44,0.0,0.0,back,1
303,2017-10-30,Legs,26,0.0,0.0,legs,1
304,2017-10-31,Running,35,7.16,4.53,cardio,1
305,2017-11-01,Compound,38,0.0,0.0,compound,1
306,2017-11-02,Running,35,7.52,4.39,cardio,1
307,2017-11-03,Legs,28,0.0,0.0,legs,1
308,2017-11-04,Chest,40,0.0,0.0,chest,1
309,2017-11-05,Back,39,0.0,0.0,back,1
310,2017-11-06,Rest,0,0.0,0.0,rest,1
311,2017-11-07,Rest,0,0.0,0.0,rest,1
312,2017-11-08,Legs,28,0.0,0.0,legs,1
313,2017-11-09,Running,35,7.05,4.58,cardio,1
314,2017-11-10,Chest,42,0.0,0.0,chest,1
315,2017-11-11,Back,42,0.0,0.0,back,1
316,2017-11-12,Compound,41,0.0,0.0,compound,1
317,2017-11-13,Legs,30,0.0,0.0,legs,1
318,2017-11-14,Running,38,7.39,5.09,cardio,1
319,2017-11-15,Compound,31,0.0,0.0,compound,1
320,2017-11-16,Legs,30,0.0,0.0,legs,1
321,2017-11-17,Running,40,8.04,4.59,cardio,1
322,2017-11-18,Chest,38,0.0,0.0,chest,1
323,2017-11-19,Back,34,0.0,0.0,back,1
324,2017-11-20,Running,43,8.13,5.17,cardio,1
325,2017-11-21,Running,42,8.55,4.55,cardio,1
326,2017-11-22,Compound,45,0.0,0.0,compound,1
327,2017-11-23,Running,42,8.6,4.53,cardio,1
328,2017-11-24,Running,42,8.16,5.09,cardio,1
329,2017-11-25,Legs,28,0.0,0.0,legs,1
330,2017-11-26,Compound,48,0.0,0.0,compound,1
331,2017-11-27,Running,42,8.57,4.54,cardio,1
332,2017-11-28,Running,40,8.17,4.54,cardio,1
333,2017-11-29,Compound,43,0.0,0.0,compound,1
334,2017-11-30,Running,56,10.64,5.16,cardio,1
335,2017-12-01,Running,43,9.04,4.45,cardio,1
336,2017-12-02,Compound,52,0.0,0.0,compound,1
337,2017-12-03,Legs,32,0.0,0.0,legs,1
338,2017-12-04,Running,42,8.27,5.05,cardio,1
339,2017-12-05,Running,44,8.83,4.59,cardio,1
340,2017-12-06,Compound,39,0.0,0.0,compound,1
341,2017-12-07,Running,44,8.68,5.04,cardio,1
342,2017-12-08,Running,43,8.36,5.09,cardio,1
343,2017-12-09,Compound,46,0.0,0.0,compound,1
344,2017-12-10,Compound,47,0.0,0.0,compound,1
345,2017-12-11,Running,44,8.49,5.11,cardio,1
346,2017-12-12,Running,42,8.51,4.56,cardio,1
347,2017-12-13,Compound,43,0.0,0.0,compound,1
348,2017-12-14,Running,55,11.05,4.59,cardio,1
349,2017-12-15,Compound,43,0.0,0.0,compound,1
350,2017-12-16,Compound,46,0.0,0.0,compound,1
351,2017-12-17,Rest,0,0.0,0.0,rest,1
352,2017-12-18,Running,40,8.04,4.59,cardio,1
353,2017-12-19,Running,41,8.21,4.6,cardio,1
354,2017-12-20,Compound,47,0.0,0.0,compound,1
355,2017-12-21,Running,40,8.15,4.54,cardio,1
356,2017-12-22,Running,40,8.23,4.52,cardio,1
357,2017-12-23,Compound,38,0.0,0.0,compound,1
